title,url,publishedAt
"""Les Misérables"" Volume 3 - by Victor Hugo",https://www.youtube.com/watch?v=GggMWYYMR9U,2024-08-08T02:13:19Z
"""Emile, or On Education"" Volume 3 - Jean-Jacques Rousseau",https://www.youtube.com/watch?v=MZKeNAl0QR8,2024-08-08T02:08:18Z
"""Emile, or On Education"" Volume 4 - Jean-Jacques Rousseau",https://www.youtube.com/watch?v=hjEzz8G28gc,2024-08-08T01:48:48Z
"""Fathers and Sons"" Volume 2 - Ivan Turgenev",https://www.youtube.com/watch?v=md6zk65htYA,2024-08-08T01:23:13Z
"""Les Misérables"" Volume 2 - by Victor Hugo",https://www.youtube.com/watch?v=EbkcxdLlY1Y,2024-08-07T12:48:07Z
"""Fathers and Sons"" Volume 2 - Ivan Turgenev",https://www.youtube.com/watch?v=3nZC_SjgN1Q,2024-08-07T04:00:06Z
"""Les Misérables"" Volume 1 - by Victor Hugo",https://www.youtube.com/watch?v=ee_THum-d-s,2024-08-06T12:53:10Z
"""How the Steel Was Tempered"" Volume 2 - by Nikolai Ostrovsky.",https://www.youtube.com/watch?v=3jpGUxmWN9Y,2024-08-06T02:47:32Z
"""One Hundred Years of Solitude"" Volume 3 - by Gabriel García Márquez",https://www.youtube.com/watch?v=Bv7QODCDB9w,2024-08-05T02:57:16Z
"""Fathers and Sons"" Volume 1 - Ivan Turgenev",https://www.youtube.com/watch?v=4fgGehCHz70,2024-08-05T00:27:53Z
"""Emile, or On Education"" Volume 2 - Jean-Jacques Rousseau",https://www.youtube.com/watch?v=tieAmAN17Iw,2024-08-04T23:59:11Z
"""One Hundred Years of Solitude"" Volume 2 - by Gabriel García Márquez",https://www.youtube.com/watch?v=hC1AzdV17YM,2024-08-04T20:44:56Z
"""One Hundred Years of Solitude"" Volume 1 - by Gabriel García Márquez",https://www.youtube.com/watch?v=lKfbIro8O78,2024-08-03T20:54:39Z
"""How the Steel Was Tempered"" Volume 1 - by Nikolai Ostrovsky.",https://www.youtube.com/watch?v=LweaIB_CCPk,2024-08-03T15:52:58Z
"""White Fang"" Volume 2 - by Jack London",https://www.youtube.com/watch?v=fx4cSeJye7E,2024-08-03T03:51:33Z
"""White Fang"" Volume 1 - by Jack London",https://www.youtube.com/watch?v=jAUx3M63P3E,2024-08-02T13:40:40Z
"""Emile, or On Education"" Volume 1 - Jean-Jacques Rousseau",https://www.youtube.com/watch?v=9mNtDl_z7AE,2024-08-02T02:34:44Z
"""Hans Christian Andersen's Fairy Tales"" Volume 5 - Hans Christian Andersen",https://www.youtube.com/watch?v=7tceCZj5F8U,2024-08-02T02:24:09Z
"""Hans Christian Andersen's Fairy Tales."" Volume 4 - Hans Christian Andersen",https://www.youtube.com/watch?v=GA4f6MBCrgA,2024-08-01T02:27:27Z
"""The Hunchback of Notre-Dame"" Volume 3 - by Victor Hugo",https://www.youtube.com/watch?v=HQWvlXaWMyE,2024-08-01T01:41:05Z
"""Hans Christian Andersen's Fairy Tales."" Volume 3 - Hans Christian Andersen",https://www.youtube.com/watch?v=NAt3UXECj98,2024-07-31T13:15:10Z
"""Hans Christian Andersen's Fairy Tales."" Volume 2 - Hans Christian Andersen",https://www.youtube.com/watch?v=dF6GhQ0G978,2024-07-31T03:43:06Z
"""The Hunchback of Notre-Dame"" Volume 2 - by Victor Hugo",https://www.youtube.com/watch?v=XR0VGNS2tbM,2024-07-30T23:26:48Z
"""Buddenbrooks"" Volume 4 - by Thomas Mann.",https://www.youtube.com/watch?v=sSbS_d1tZ-w,2024-07-30T04:28:23Z
"""Buddenbrooks"" Volume 3 - by Thomas Mann.",https://www.youtube.com/watch?v=9p8kVVRu7Co,2024-07-29T11:34:33Z
"""The Hunchback of Notre-Dame"" Volume 1 - by Victor Hugo",https://www.youtube.com/watch?v=EVS797dxoFQ,2024-07-29T04:35:33Z
"""Hans Christian Andersen's Fairy Tales."" Volume 1 - Hans Christian Andersen",https://www.youtube.com/watch?v=7hU1H7VSapw,2024-07-28T15:17:13Z
"""Three-Body"" Volume 10 - Cixin Liu",https://www.youtube.com/watch?v=AlSFW6RWiVw,2024-07-27T04:51:07Z
"""The Grapes of Wrath"" Volume 1 - by John Steinbeck.",https://www.youtube.com/watch?v=eMHtFK4DqGw,2024-07-26T21:03:57Z
"""The Grapes of Wrath"" Volume 2 - by John Steinbeck.",https://www.youtube.com/watch?v=qAJ6uuSyu-4,2024-07-26T20:02:22Z
"""Three-Body"" Volume 9 - Cixin Liu",https://www.youtube.com/watch?v=fOwbo8P1DvM,2024-07-26T16:29:47Z
"""Three-Body"" Volume 6 - Cixin Liu",https://www.youtube.com/watch?v=xzb8uwYIfrI,2024-07-26T13:31:10Z
"""Three-Body"" Volume 8 - Cixin Liu",https://www.youtube.com/watch?v=a_iCnMuFBq0,2024-07-26T12:36:59Z
"""Three-Body"" Volume 7 - Cixin Liu",https://www.youtube.com/watch?v=h0GkSRnrdtg,2024-07-25T00:42:39Z
"""Three-Body"" Volume 4 - Cixin Liu",https://www.youtube.com/watch?v=NVcH4-zi8mg,2024-07-25T00:26:52Z
"""Three-Body"" Volume 1 - Cixin Liu",https://www.youtube.com/watch?v=M5Z09DVAakE,2024-07-24T01:29:06Z
"""Three-Body"" Volume 5 - Cixin Liu",https://www.youtube.com/watch?v=940gcOyz0Z8,2024-07-23T21:51:57Z
"""Three-Body"" Volume 2 - Cixin Liu",https://www.youtube.com/watch?v=rdariI3l60E,2024-07-23T18:29:57Z
"""Resurrection"" Volume 3 - by Leo Tolstoy",https://www.youtube.com/watch?v=6VvADRfjwLA,2024-07-23T14:22:23Z
"""Cancer Ward"" Volume 2 - by Aleksandr Solzhenitsyn",https://www.youtube.com/watch?v=sGMrE1yvcxc,2024-07-23T13:24:45Z
"""Resurrection"" Volume 1 - by Leo Tolstoy",https://www.youtube.com/watch?v=JsoFO1zFGcQ,2024-07-22T10:44:44Z
"""Nausea"" Volume 2 - by Jean-Paul Sartre",https://www.youtube.com/watch?v=oDDziNbljgs,2024-07-22T02:49:30Z
"""Three-Body"" Volume 3 - Cixin Liu",https://www.youtube.com/watch?v=gfx9Ddju2ww,2024-07-22T00:46:38Z
"""Resurrection"" Volume 2 - by Leo Tolstoy",https://www.youtube.com/watch?v=E7ZCXrNGt8U,2024-07-21T23:23:44Z
"""Buddenbrooks"" Volume 2 - by Thomas Mann.",https://www.youtube.com/watch?v=VKHGg1QpB5o,2024-07-21T23:19:21Z
"""Nausea"" Volume 1 - by Jean-Paul Sartre",https://www.youtube.com/watch?v=oKpbE5RN3TE,2024-07-21T23:03:13Z
"""Buddenbrooks"" Volume 1 - by Thomas Mann.",https://www.youtube.com/watch?v=gmP65BNaL9Y,2024-07-21T11:22:27Z
"""Catch-22"" Volume 2 - by Joseph Heller.",https://www.youtube.com/watch?v=y7ZkUcQ4TAw,2024-07-20T16:29:43Z
"""A Clockwork Orange"" by Anthony Burgess.",https://www.youtube.com/watch?v=Smmk1SdumWQ,2024-07-20T11:51:34Z
"""Catch-22"" Volume 1 - by Joseph Heller.",https://www.youtube.com/watch?v=ZLu0PBMhbk0,2024-07-20T10:23:09Z
"""Main Street"" Volume 2 - by Sinclair Lewis",https://www.youtube.com/watch?v=ohREE2vFYnY,2024-07-20T03:51:58Z
"""Cancer Ward"" Volume 3 - by Aleksandr Solzhenitsyn",https://www.youtube.com/watch?v=NdDDO5eeZv4,2024-07-20T03:31:51Z
"""Crime and Punishment"" Volume 2 - by Fyodor Dostoevsky.",https://www.youtube.com/watch?v=1lb2c5BQ0p4,2024-07-19T04:09:17Z
"""Cancer Ward"" Volume 1 - by Aleksandr Solzhenitsyn",https://www.youtube.com/watch?v=LFiWEc_9Wfw,2024-07-18T00:46:54Z
"""Gone with the Wind"" Volume G - by Margaret Mitchell",https://www.youtube.com/watch?v=8z0dIY5thC4,2024-07-16T23:30:26Z
"""Crime and Punishment"" volume 1 by Fyodor Dostoevsky.",https://www.youtube.com/watch?v=HamskxpXRrg,2024-07-16T23:08:25Z
"""Gone with the Wind"" Volume C - by Margaret Mitchell",https://www.youtube.com/watch?v=gg5QfbSaoyI,2024-07-16T02:35:23Z
"""Gone with the Wind"" Volumn F - by Margaret Mitchell",https://www.youtube.com/watch?v=TzObAYX7iK4,2024-07-16T00:19:52Z
"""Gone with the Wind"" Volumn E - by Margaret Mitchell",https://www.youtube.com/watch?v=tP3SOFJnL2A,2024-07-15T03:36:13Z
"""Gone with the Wind"" Volumn B - by Margaret Mitchell",https://www.youtube.com/watch?v=WfKFcHs1I3k,2024-07-14T19:09:43Z
"Holy Bible - King James Version (KJV) Jeremiah,Lamentations,Ezekiel",https://www.youtube.com/watch?v=9noRUs0xrXc,2024-07-14T14:01:23Z
"""Gone with the Wind"" Volumn A - by Margaret Mitchell",https://www.youtube.com/watch?v=CAxItk2uUTA,2024-07-13T20:57:28Z
"Holy Bible - King James Version (KJV) Hebrews,James,1 Peter,2 Peter,1 John,2 John,3 John,Jude,Revela",https://www.youtube.com/watch?v=cpdImB3P_0c,2024-07-13T14:35:15Z
"""Gone with the Wind"" Volumn D - by Margaret Mitchell",https://www.youtube.com/watch?v=H83DbZiwToE,2024-07-12T21:43:54Z
“Don Juan” Volumn B - by Baron George Gordon Byron Byron,https://www.youtube.com/watch?v=cKGHgajrgCs,2024-07-12T16:08:04Z
"""Main Street"" Volumn A- by Sinclair Lewis",https://www.youtube.com/watch?v=RdX2cqOvo2o,2024-07-12T11:54:11Z
"""Don Juan"" by Baron George Gordon Byron Byron",https://www.youtube.com/watch?v=er22Z6Mt058,2024-07-12T04:06:47Z
"Holy Bible - King James Version (KJV) Song of Psalms, Proverbs, Ecclesiastes",https://www.youtube.com/watch?v=ZrgOGT8NWaE,2024-07-11T11:01:22Z
"Holy Bible - King James Version (KJV) Song of Solomon, Isaiah",https://www.youtube.com/watch?v=TVK0SiFS19s,2024-07-11T01:26:09Z
"""The Old Man and the Sea"" - By Ernest Hemingway",https://www.youtube.com/watch?v=Rgg2_lwA1Ro,2024-07-10T03:14:31Z
"Holy Bible - King James Version (KJV) Hebrews,James,1 Peter,2 Peter,1 John,2 John,3 John,Jude,Rev",https://www.youtube.com/watch?v=reH5Qdkqfgk,2024-07-10T03:10:23Z
"""Aesop's Fables"" by J. H. Stickney Aesop",https://www.youtube.com/watch?v=W9jY4eZRPbQ,2024-07-10T01:33:34Z
"Holy Bible - King James Version Leviticus,Numbers",https://www.youtube.com/watch?v=XMNudnABHko,2024-07-09T11:59:54Z
"Holy Bible - King James Version (KJV) Luke, John",https://www.youtube.com/watch?v=PRw_L_tvMsI,2024-07-09T06:00:30Z
"Holy Bible - King James Version 1 Corinthians,2 Corinthians,Galatians,...2 Timothy,Titus,Philemon",https://www.youtube.com/watch?v=PbFeM43XeXo,2024-07-09T05:54:04Z
"Holy Bible - King James Version (KJV) Acts, Romans",https://www.youtube.com/watch?v=RjxRqfVidMA,2024-07-09T05:52:30Z
"Holy Bible - King James Version (KJV) 1 Chronicles, 2 Chronicles",https://www.youtube.com/watch?v=MyacFbfqI_s,2024-07-09T04:10:34Z
"Holy Bible - King James Version (KJV) Ezra, Nehemiah, Esther, Job",https://www.youtube.com/watch?v=gOGgOB93Wh0,2024-07-09T04:05:56Z
"Holy Bible - King James Version (KJV) Genesis, Exodus",https://www.youtube.com/watch?v=xhXP4PNkFxo,2024-07-08T11:54:12Z
"Holy Bible - King James Version (KJV) 1 Kings, 2 Kings",https://www.youtube.com/watch?v=1ligYhgbG8g,2024-07-08T11:18:21Z
"""The Interpretation of Dreams""  by Sigmund Freud - Chapter 6",https://www.youtube.com/watch?v=6A9_elhZLQI,2024-07-07T23:01:43Z
"Holy Bible - King James Version (KJV) Matthew, Mark",https://www.youtube.com/watch?v=GaH4KMdEYyw,2024-07-07T21:46:42Z
"Holy Bible - King James Version (KJV) Deuteronomy, Joshua, Judges",https://www.youtube.com/watch?v=BxUkH9YDPKA,2024-07-07T14:15:08Z
"Holy Bible - King James Version (KJV) Ruth, 1 Samuel, 2 Samuel",https://www.youtube.com/watch?v=WFt31tWZdo0,2024-07-07T13:15:54Z
RollingClips Aga combined,https://www.youtube.com/watch?v=gX_4zx242Hw,2024-07-06T03:33:28Z
"""The Interpretation of Dreams""  by Sigmund Freud Chapter 4, 5",https://www.youtube.com/watch?v=Yi-_N9ySA6Y,2024-07-06T03:17:08Z
"""The Interpretation of Dreams""  by Sigmund Freud Chapter 7",https://www.youtube.com/watch?v=Ubev5XfVNiQ,2024-07-05T21:40:37Z
HUNG LOU MENG by Cao Xueqin  Chapter 51-56,https://www.youtube.com/watch?v=VIANeZnrirw,2024-07-03T10:55:02Z
HUNG LOU MENG by Cao Xueqin  Chapter 45-50,https://www.youtube.com/watch?v=iDa7iPO2P8M,2024-07-03T10:41:33Z
"Hung Lou Meng, by Cao Xueqin. Chapter 15-24",https://www.youtube.com/watch?v=H2MM8H8nqW0,2024-06-29T19:17:45Z
"Hung Lou Meng, by Cao Xueqin. Chapter 35-44",https://www.youtube.com/watch?v=otxbJuchqhY,2024-06-29T18:22:11Z
"Hung Lou Meng, by Cao Xueqin. Chapter 25-34",https://www.youtube.com/watch?v=r8ll3oLyYwQ,2024-06-29T18:10:20Z
"Hung Lou Meng, by Cao Xueqin.",https://www.youtube.com/watch?v=UA5-mFLomlQ,2024-06-25T22:59:55Z
"""1 Samuel"" Bible - Book 9",https://www.youtube.com/watch?v=vIDnnJDJe60,2024-03-09T05:00:34Z
"""Psalms"" Bible - Book 19",https://www.youtube.com/watch?v=zHwuZbPmTd8,2024-03-09T05:00:34Z
"""Ezekiel"" Bible - Book 26",https://www.youtube.com/watch?v=iKNuinSd588,2024-03-09T05:00:32Z
"""Luke"" Bible - Book 42",https://www.youtube.com/watch?v=jcodsxctpFo,2024-03-09T05:00:32Z
"""Joshua"" Bible - Book 6",https://www.youtube.com/watch?v=ijA57LsTT1Q,2024-03-09T05:00:31Z
"""1 Timothy"" Bible - Book 54",https://www.youtube.com/watch?v=jvtv8otuqa4,2024-03-09T05:00:31Z
"""Numbers"" Bible - Book 4",https://www.youtube.com/watch?v=dCn06HBw2eQ,2024-03-09T05:00:28Z
"""Jeremiah"" Bible - Book 24",https://www.youtube.com/watch?v=xS8jEeBTSnQ,2024-03-09T05:00:28Z
"""Job"" Bible - Book 18",https://www.youtube.com/watch?v=VztwIodi1JE,2024-03-09T05:00:27Z
"""2 Peter"" Bible - Book 61",https://www.youtube.com/watch?v=vujIozc6ZQA,2024-03-09T05:00:27Z
"""Matthew"" Bible - Book 40",https://www.youtube.com/watch?v=PyBIs_SDAY4,2024-03-09T05:00:24Z
"""Nehemiah"" Bible - Book 16",https://www.youtube.com/watch?v=ru0p0FP9lQE,2024-03-09T05:00:24Z
"""Lamentations"" Bible - Book 25",https://www.youtube.com/watch?v=Wnhj4pCxHi8,2024-03-09T05:00:23Z
"""Joel"" Bible - Book 29",https://www.youtube.com/watch?v=prH_T4DXBco,2024-03-09T05:00:23Z
"""2 Timothy"" Bible - Book 55",https://www.youtube.com/watch?v=tap9Hl46vNI,2024-03-09T05:00:22Z
"""1 Chronicles"" Bible - Book 13",https://www.youtube.com/watch?v=O0LqeVv4_2I,2024-03-09T05:00:21Z
"""Malachi"" Bible - Book 39",https://www.youtube.com/watch?v=QUQPDsu1oAQ,2024-03-09T05:00:21Z
"""Haggai"" Bible - Book 37",https://www.youtube.com/watch?v=k6pbiODwdns,2024-03-09T05:00:21Z
"""3 John"" Bible - Book 64",https://www.youtube.com/watch?v=Ow15iwPClAw,2024-03-09T05:00:20Z
"""Hebrews"" Bible - Book 58",https://www.youtube.com/watch?v=IJjprFi0NG8,2024-03-09T05:00:19Z
"""Daniel"" Bible - Book 27",https://www.youtube.com/watch?v=eE7Tjd-s3JA,2024-03-09T05:00:19Z
"""2 Thessalonians"" Bible - Book 53",https://www.youtube.com/watch?v=ihE-At9yHts,2024-03-09T05:00:19Z
"""1 Kings"" Bible - Book 11",https://www.youtube.com/watch?v=K40EPpFYxU4,2024-03-09T05:00:18Z
"""Ecclesiastes"" Bible - Book 21",https://www.youtube.com/watch?v=dgzFthF_6U0,2024-03-09T05:00:17Z
